county,contest_name - original,contest_name - base,contest_id,name_on_ballot,First_Name,middle_name,Last_Name,name_suffix_lbl,nick_name,Candidacy_dt,party_contest,party_candidate,is_unexpired,has_primary,is_partisan,vote_for,term
Statewide,NC ATTORNEY GENERAL,NC ATTORNEY GENERAL,,Buck Newton,ELDON,SHARPE,NEWTON,III,BUCK,12/9/2015,REP,REP,FALSE,FALSE,TRUE,1,4
Statewide,NC ATTORNEY GENERAL,NC ATTORNEY GENERAL,,Josh Stein,JOSHUA,H,STEIN,,,12/2/2015,DEM,DEM,FALSE,FALSE,TRUE,1,4
Statewide,NC AUDITOR,NC AUDITOR,,Beth A. Wood,BETH,A,WOOD,,,12/1/2015,DEM,DEM,FALSE,FALSE,TRUE,1,4
Statewide,NC AUDITOR,NC AUDITOR,,Chuck Stuber,CHARLES,W,STUBER,JR,,12/18/2015,REP,REP,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF AGRICULTURE,NC COMMISSIONER OF AGRICULTURE,,Steve Troxler,STEVEN,WAYNE,TROXLER,,,12/3/2015,REP,REP,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF AGRICULTURE,NC COMMISSIONER OF AGRICULTURE,,Walter Smith,WALTER,GRAHAM,SMITH,JR,,12/1/2015,DEM,DEM,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF INSURANCE,NC COMMISSIONER OF INSURANCE,,Mike Causey,JOHN,MICHAEL,CAUSEY,,MIKE,12/1/2015,REP,REP,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF INSURANCE,NC COMMISSIONER OF INSURANCE,,Wayne Goodwin,GEORGE,WAYNE,GOODWIN,,,12/1/2015,DEM,DEM,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF LABOR,NC COMMISSIONER OF LABOR,,Charles Meeker,CHARLES,C,MEEKER,,,12/2/2015,DEM,DEM,FALSE,FALSE,TRUE,1,4
Statewide,NC COMMISSIONER OF LABOR,NC COMMISSIONER OF LABOR,,Cherie Berry,CHERIE,KILLIAN,BERRY,,,12/1/2015,REP,REP,FALSE,FALSE,TRUE,1,4
Statewide,NC COURT OF APPEALS JUDGE (DIETZ),NC COURT OF APPEALS JUDGE,DIETZ,Richard Dietz,RICHARD,DONALD,DIETZ,,,12/1/2015,REP,REP,FALSE,FALSE,FALSE,1,8
Statewide,NC COURT OF APPEALS JUDGE (DIETZ),NC COURT OF APPEALS JUDGE,DIETZ,Vince Rozier,VINSTON,MILLER,ROZIER,JR,,12/1/2015,DEM,DEM,FALSE,FALSE,FALSE,1,8
Statewide,NC COURT OF APPEALS JUDGE (GEER),NC COURT OF APPEALS JUDGE,GEER,Donald Ray Buie,DONALD,RAY,BUIE,,,7/11/2016,UNA,NULL,FALSE,FALSE,FALSE,1,8
Statewide,NC COURT OF APPEALS JUDGE (GEER),NC COURT OF APPEALS JUDGE,GEER,Hunter Murphy,JEFFREY,HUNTER,MURPHY,,,7/11/2016,REP,NULL,FALSE,FALSE,FALSE,1,8
Statewide,NC COURT OF APPEALS JUDGE (GEER),NC COURT OF APPEALS JUDGE,GEER,Margaret Eagles,MARGARET,PHILLIPS,EAGLES,,,7/11/2016,DEM,DEM,FALSE,FALSE,FALSE,1,8
Statewide,NC COURT OF APPEALS JUDGE (HUNTER),NC COURT OF APPEALS JUDGE,HUNTER,Abe Jones,ABRAHAM,PENN,JONES,,,12/14/2015,DEM,DEM,FALSE,FALSE,FALSE,1,8
