contest_name - original,Short Description of Office,Sources
NC ATTORNEY GENERAL,"The state’s top law enforcement officer and lawyer, the Attorney General heads the North Carolina Department of Justice providing legal representation and advice to all state government departments, agencies and commissions, as well as representing the state's people in some court proceedings. They also provide legal opinions at the request of other public officials and handles all criminal appeals from state trial courts.",http://www.ncdoj.com/About-DOJ/The-Attorney-General.aspx
NC AUDITOR,"""The State Auditor has broad powers to examine all books, records, files, papers, documents, and financial affairs of every state agency. The State Auditor also has the power to summon people to produce records and to answer questions under oath.""","- http://www.nc.gov/agencies/state-auditor

(extra) www.ncauditor.net/ (currently not loading)
"
NC COMMISSIONER OF AGRICULTURE,"The Commissioner oversees the N.C. Department of Agriculture and Consumer Services, including ""agronomy; animal health; weights and measures; gas and oil inspection; crop and livestock statistics; USDA commodity distribution; state farm operations; food, drug and cosmetic testing for purity; agricultural marketing and promotion; agricultural marketing grading; international agricultural crop and livestock marketing; operation of the North Carolina State Fair and North Carolina Mountain State Fair; operation of four state farmers markets; research station operations; seed and fertilizer inspection; nursery and plant pest eradication activities; regulation of the structural pest control industry; agricultural environmental issues; soil and water conservation; forest promotion and protection; state and federal agricultural legislation; and agricultural economic analysis.""",http://ncagr.gov/Commissioner/CommissionerRole.htm
NC COMMISSIONER OF INSURANCE,"The Commissioner of Insurance is head of the Department of Insurance, serves on the Council of State, and is State Fire Marshal. The office regulates the insurance industry, licensing insurance professionals, educating consumers, and handling complaints.",https://ballotpedia.org/North_Carolina_Commissioner_of_Insurance
NC COMMISSIONER OF LABOR,"The Commissioner of Labor oversees the North Carolian Department of Labor, charged with promoting the “health, safety, and general well-being” of the state's workers, including the enforcement of state labor laws and safety regulations.",http://www.nclabor.com/commish.htm
NC COURT OF APPEALS JUDGE (DIETZ),"The Court of Appeals is North Carolina's intermediate court, with 15 judges hearing cases in panels of three. The court reviews proceedings that occurred in the trial courts for errors of law or procedure; it decides only questions of law - not questions of fact. All cases appealed from lower courts in civil and criminal cases, except capital murder cases in which the court pronounces a judgment imposing the death penalty, are heard by the Court of Appeals.","1 - http://onyourballot.vote411.org/race-detail.do?id=14787901
2, 3 - https://ballotpedia.org/North_Carolina_Court_of_Appeals"
NC COURT OF APPEALS JUDGE (GEER),- same,- same
NC COURT OF APPEALS JUDGE (HUNTER),- same,- same
NC COURT OF APPEALS JUDGE (STEPHENS),- same,- same
NC COURT OF APPEALS JUDGE (ZACHARY),- same,- same
NC DISTRICT COURT JUDGE DISTRICT 28 (DRAY),"This election is for the judicial district covering Buncombe County. District courts deal with civil cases such as divorce, custody, child support and cases involving less than $25,000, along with criminal cases involving misdemeanors and infractions.","1 - https://ballotpedia.org/North_Carolina_28th_Judicial_District""

2 - https://ballotpedia.org/North_Carolina_28th_Judicial_District"""
NC DISTRICT COURT JUDGE DISTRICT 28 (HILL),- same,- same
NC GOVERNOR,"The Governor of North Carolina is the state's chief executive, proposing the annual budget and has extensive powers to appoint judges and other officials. The governor is the head of the Council of State.",https://ballotpedia.org/Governor_of_North_Carolina
NC HOUSE OF REPRESENTATIVES DISTRICT 114,"The North Carolina General Assembly drafts and legislates state laws. Representatives serve two-year terms. NC House District 114 covers the center of Buncombe County, primarily the city of Asheville.",https://ballotpedia.org/North_Carolina_House_of_Representatives_District_114
NC HOUSE OF REPRESENTATIVES DISTRICT 115,The North Carolina General Assembly drafts and legislates state laws. Representatives serve two-year terms. NC House District 115 covers the eastern and northern parts of Buncombe County.,
NC HOUSE OF REPRESENTATIVES DISTRICT 116,The North Carolina General Assembly drafts and legislates state laws. Representatives serve two-year terms. NC House District 116 covers the southern and western parts of Buncombe County.,
NC LIEUTENANT GOVERNOR,"The Lieutenant Governor presides over the general assembly, sits on the Council of State and succeeds the governor if they die or resign",
NC SECRETARY OF STATE,"The North Carolina Secretary of State oversees many of the government's business and economic operations, including the registration of corporations, non-profits and other organizations.",
NC STATE SENATE DISTRICT 48,"The North Carolina General Assembly — made up of the N.C. Senate and the N.C. House of Representatives — drafts and legislates state laws. Senators serve two-year terms. NC Senate District 48 covers the southern third of Buncombe County, as well as Henderson and Polk Counties.",
NC STATE SENATE DISTRICT 49,The North Carolina General Assembly — made up of the N.C. Senate and the N.C. House of Representatives — drafts and legislates state laws. Senators serve two-year terms. NC Senate District 49 covers the northern two-thirds of Buncombe County.,
NC SUPERINTENDENT OF PUBLIC INSTRUCTION,The superintendent heads the Department of Public Instruction and oversees North Carolina's school systems.,
NC SUPREME COURT ASSOCIATE JUSTICE,"The North Carolina Supreme Court — with six associate justices and one chief justice — is the state's highest appellate court. It makes final decisions on many matters relating to state law, the decisions of lower courts and decisions by state agencies.",
NC TREASURER,The North Carolina Treasurer is responsible for overseeing the financial operations of the state government,
US HOUSE OF REPRESENTATIVES DISTRICT 10,,
US HOUSE OF REPRESENTATIVES DISTRICT 11,,
US PRESIDENT,,
US SENATE,,
BUNCOMBE COUNTY BOARD OF COMMISSIONERS CHAIR,"The Buncombe County Board of Commissioners sets policy for Buncombe County's government, including taxes, building, the environment and more. The Chair is elected by all voters throughout the county.",https://www.buncombecounty.org/Governing/Commissioners/default.aspx
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 1,"The Buncombe County Board of Commissioners sets policy for Buncombe County's government, including taxes, building, the environment and more. The District 1 seat is elected by voters in the central part of the county, largely in the city of Asheville",https://www.buncombecounty.org/Governing/Commissioners/default.aspx
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2,"The Buncombe County Board of Commissioners sets policy for Buncombe County's government, including taxes, building, the environment and more. The District 2 seat is elected by voters in the eastern and nothern parts of the county.",https://www.buncombecounty.org/Governing/Commissioners/default.aspx
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3,"The Buncombe County Board of Commissioners sets policy for Buncombe County's government, including taxes, building, the environment and more. The District 3 seat is elected by voters in the southern and western parts of the county.",https://www.buncombecounty.org/Governing/Commissioners/default.aspx
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 UNEXPIRED,"The Buncombe County Board of Commissioners sets policy for Buncombe County's government, including taxes, building, the environment and more. The District 3 seat is elected by voters in the southern and western parts of the county. This election is for the remaing term of a District 3 seat that will last until 2018.",https://www.buncombecounty.org/Governing/Commissioners/default.aspx
BUNCOMBE COUNTY BOARD OF EDUCATION AT- LARGE,Oversees the Buncombe County School System. This seat is elected by all county voters.,https://buncombeschools.org/cms/One.aspx?portalId=92531&pageId=148983
BUNCOMBE COUNTY BOARD OF EDUCATION NORTH BUNCOMBE DISTRICT,Oversees the Buncombe County School System. This seat is elected by voters in the northern part of the county,https://buncombeschools.org/cms/One.aspx?portalId=92531&pageId=148983
BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Oversees the Buncombe County School System. This seat is elected by voters in the Owen school district in the eastern part of the county.,https://buncombeschools.org/cms/One.aspx?portalId=92531&pageId=148983
BUNCOMBE COUNTY BOARD OF EDUCATION ROBERSON DISTRICT,Oversees the Buncombe County School System. This seat is elected by voters in the Roberson district in the southern part of the county.,https://buncombeschools.org/cms/One.aspx?portalId=92531&pageId=148983
BUNCOMBE COUNTY REGISTER OF DEEDS,"The Register of Deeds runs the office in charge of deeds, marriage licenses, birth certificates, death certificates, military discharges, property transactions and other vital records.",https://www.buncombecounty.org/governing/depts/registerdeeds/
SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,"Oversees protection of the county's environment, including ""providing education, information, technical assistance, and economic incentives"" to help soil and water quality.",https://www.buncombecounty.org/Governing/Depts/Soil/Default.aspx
ASHEVILLE GENERAL OBLIGATION TRANSPORTATION BONDS,"$34 million in bond debt for sidewalks, traffic improvements and other transportation infrastructure projects","http://www.citizen-times.com/search/%22bond%20referendum%22/

 http://mountainx.com/?s=%22bond+referendum%22

http://ashevilleblade.com/?s=%22bond+referendum%22"
ASHEVILLE GENERAL OBLIGATION HOUSING BONDS,$25 million in bond debt for the development of affordable housing units.,"http://www.citizen-times.com/search/%22bond%20referendum%22/

 http://mountainx.com/?s=%22bond+referendum%22

http://ashevilleblade.com/?s=%22bond+referendum%22"
ASHEVILLE GENERAL OBLIGATION PARKS AND RECREATION BONDS,$17 million in bond debt for improvement of parks and recreation facilities,"http://www.citizen-times.com/search/%22bond%20referendum%22/

 http://mountainx.com/?s=%22bond+referendum%22

http://ashevilleblade.com/?s=%22bond+referendum%22"
